date,index,naics_code,business_id,bus_loc_id,business_legal_name,maxNumLoc,tax_period_cd,obl_type_id,sumsum_gross,sumsum_deduc,sumsum_taxable,sumsum_paid,effective_period_tax_percentage_rate_paid,internal_tax_rate_smoothing,internal_tax_rate_var,internal_rate_percentile,tax_rate_percentile_peers,deduc_type_1,deduc_type_2,deduc_type_3,deduc_type_5,deduc_type_6,deduc_type_8,deduc_type_12,deduc_type_13,deduc_type_14,deduc_type_15,deduc_type_16,deduc_type_17,deduc_type_18,deduc_type_19,deduc_type_20,deduc_type_21,deduc_type_22,deduc_type_23,deduc_type_24,deduc_type_31,deduc_type_34,deduc_type_41,deduc_type_42,deduc_type_43,deduc_type_44,deduc_type_rel_gross_1,deduc_type_rel_gross_2,deduc_type_rel_gross_3,deduc_type_rel_gross_5,deduc_type_rel_gross_6,deduc_type_rel_gross_8,deduc_type_rel_gross_12,deduc_type_rel_gross_13,deduc_type_rel_gross_14,deduc_type_rel_gross_15,deduc_type_rel_gross_16,deduc_type_rel_gross_17,deduc_type_rel_gross_18,deduc_type_rel_gross_19,deduc_type_rel_gross_20,deduc_type_rel_gross_21,deduc_type_rel_gross_22,deduc_type_rel_gross_23,deduc_type_rel_gross_24,deduc_type_rel_gross_31,deduc_type_rel_gross_34,deduc_type_rel_gross_41,deduc_type_rel_gross_42,deduc_type_rel_gross_43,deduc_type_rel_gross_44,deduc_type_rel_deduc_1,deduc_type_rel_deduc_2,deduc_type_rel_deduc_3,deduc_type_rel_deduc_5,deduc_type_rel_deduc_6,deduc_type_rel_deduc_8,deduc_type_rel_deduc_12,deduc_type_rel_deduc_13,deduc_type_rel_deduc_14,deduc_type_rel_deduc_15,deduc_type_rel_deduc_16,deduc_type_rel_deduc_17,deduc_type_rel_deduc_18,deduc_type_rel_deduc_19,deduc_type_rel_deduc_20,deduc_type_rel_deduc_21,deduc_type_rel_deduc_22,deduc_type_rel_deduc_23,deduc_type_rel_deduc_24,deduc_type_rel_deduc_31,deduc_type_rel_deduc_34,deduc_type_rel_deduc_41,deduc_type_rel_deduc_42,deduc_type_rel_deduc_43,deduc_type_rel_deduc_44,class_id_1,class_id_2,class_id_3,class_id_4,class_id_5,class_id_7,class_id_22,class_id_30,class_id_447,class_id_453,class_id_503,class_id_504,class_id_506,class_id_701,class_id_rel_gross_1,class_id_rel_gross_2,class_id_rel_gross_3,class_id_rel_gross_4,class_id_rel_gross_5,class_id_rel_gross_7,class_id_rel_gross_22,class_id_rel_gross_30,class_id_rel_gross_447,class_id_rel_gross_453,class_id_rel_gross_503,class_id_rel_gross_504,class_id_rel_gross_506,class_id_rel_gross_701,1Delta_abs_effective_period_tax_percentage_rate_paid,1Delta_abs_internal_tax_rate_smoothing,1Delta_abs_internal_tax_rate_var,1Delta_abs_internal_rate_percentile,1Delta_rel_maxNumLoc,1Delta_rel_sumsum_gross,1Delta_rel_sumsum_deduc,1Delta_rel_sumsum_taxable,1Delta_rel_sumsum_paid,4Delta_abs_effective_period_tax_percentage_rate_paid,4Delta_abs_internal_tax_rate_smoothing,4Delta_abs_internal_tax_rate_var,4Delta_abs_internal_rate_percentile,4Delta_rel_maxNumLoc,4Delta_rel_sumsum_gross,4Delta_rel_sumsum_deduc,4Delta_rel_sumsum_taxable,4Delta_rel_sumsum_paid
2020Q2,454,541410,843903,758805,BACKDROP HOME STAGING,1,Q ,10,109994.24,64883.25,45110.99,100.15,0.09105022226618412,0.08380821631310084,0.00011122330266684354,0.18181818181818182,0.16666666666666666,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63944.5,0.0,0.0,0.0,0.0018182770297790138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006716260778746232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5813440776535207,0.0,0.0,0.0,0.0030824596486766615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011385835327299419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9855317050240239,0.0,0.0,0.0,0.0,64883.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.589878615462046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020Q3,455,541410,843903,758805,BACKDROP HOME STAGING,1,Q ,10,226368.85,90407.62,135961.23,301.83,0.13333548321688254,0.10127955047822788,0.00092162486020235,0.2727272727272727,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89887.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002297135847092036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3970847579072827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005751727564557059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9942482724354429,0.0,0.0,0.0,3171.0,87236.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014008111098324703,0.38537378265605005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04228526095069843,0.017471334165127042,0.0008104015575355065,0.09090909090909088,0.0,1.0580064010624555,0.39338920291446544,2.013926983202985,2.0137793310034944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020Q4,456,541410,843903,758805,BACKDROP HOME STAGING,1,Q ,10,205037.94,72257.56,132780.38,297.63,0.14515850090963653,0.11321722634248577,0.0010680537513101745,0.36363636363636365,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71995.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012802508647911698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3511304298121606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036328378649929504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9963671621350071,0.0,0.0,0.0,0.0,72257.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35241068067695175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011823017692753984,0.011937675864257882,0.00014642889110782445,0.09090909090909094,0.0,-0.09423076540787301,-0.20075807769300857,-0.023395272314026605,-0.013915117781532649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021Q1,457,541410,843903,758805,BACKDROP HOME STAGING,1,Q ,10,205707.71,69771.31,135936.4,304.28,0.14791861714857454,0.1209814953609433,0.0009735083734109506,0.5454545454545454,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69058.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003463652383277224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33571327977935295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010211933816349442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9897880661836506,0.0,0.0,0.0,0.0,69771.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3391769321626302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002760116238938015,0.007764269018457531,-9.454537789922387e-05,0.18181818181818177,0.0,0.0032665661779474053,-0.034408164349861825,0.023768722457338853,0.022343177771057876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021Q2,458,541410,843903,758805,BACKDROP HOME STAGING,1,Q ,10,282342.12,69873.79,212468.33,471.99,0.16716953177230517,0.1298322816644724,0.0011031196282866712,0.7272727272727273,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69873.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24747915755537997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,69873.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24747915755537997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01925091462373063,0.00885078630352909,0.00012961125487572064,0.18181818181818188,0.0,0.37254029029830726,0.0014687985649115554,0.5629980638004244,0.5511699750230052,0.07611930950612106,0.046024065351371546,0.0009918963256198277,0.5454545454545454,0.0,1.5668809566755493,0.07691569087553396,3.7099017334800237,3.712830753869196
2021Q3,459,541410,843903,758805,BACKDROP HOME STAGING,1,Q ,10,224928.74,76818.1,148110.64,329.67,0.1465664192134807,0.13265630826169206,0.000856611032852983,0.45454545454545453,0.14285714285714285,0.0,0.0,454.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76363.6,0.0,0.0,0.0,0.0020206399591266105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3395013016122351,0.0,0.0,0.0,0.005916574349014099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994083425650986,0.0,0.0,0.0,0.0,76818.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34152194157136173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020603112558824466,0.00282402659721967,-0.00024650859543368824,-0.27272727272727276,0.0,-0.20334684743459464,0.09938361723330047,-0.30290486116213167,-0.3015318121146634,0.013230935996598164,0.031376757783464174,-6.501382734936702e-05,0.18181818181818182,0.0,-0.006361785201453363,-0.15031387840980648,0.08935937105011482,0.09223735215187379
2021Q4,460,541410,843903,758805,BACKDROP HOME STAGING,1,Q ,10,117514.35,37142.25,80372.1,178.43,0.15183677567888518,0.13556550306239118,0.0006995304285850632,0.6363636363636364,0.14285714285714285,0.0,0.0,262.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36879.75,0.0,0.0,0.0,0.002233769748120123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3138318852123166,0.0,0.0,0.0,0.007067423217494901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9929325767825051,0.0,0.0,0.0,0.0,37142.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3160656549604367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005270356465404469,0.002909194800699122,-0.00015708060426791975,0.18181818181818182,0.0,-0.4775485338156431,-0.5164909051382423,-0.45735093711025754,-0.45876179209512546,0.006678274769248649,0.022348276719905413,-0.0003685233227251112,0.2727272727272727,0.0,-0.4268653401414392,-0.48597420117701173,-0.3946989758577284,-0.4004972617007694
2022Q1,461,541410,843903,758805,BACKDROP HOME STAGING,1,Q ,10,125571.92,20753.24,104818.68,318.01,0.25324929331334584,0.1518584028553646,0.0028870803898746627,0.8181818181818182,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20359.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003135653257511711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16213409813276727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01897294109257157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9810270589074285,0.0,0.0,0.0,0.0,20753.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.165269751390279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10141251763446066,0.01629289979297341,0.0021875499612895996,0.18181818181818188,0.0,0.06856668994042003,-0.44124978966002326,0.3041674909576828,0.782267555904276,0.10533067616477129,0.03087690749442129,0.001913572016463712,0.2727272727272728,0.0,-0.3895614316060394,-0.7025533847651706,-0.2289138155784617,0.04512291310634953
2022Q2,462,541410,843903,758805,BACKDROP HOME STAGING,1,Q ,10,249791.6,45543.25,204248.35,665.22,0.2663099960126762,0.16649862284414962,0.004181354309476798,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45543.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18232498610841996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45543.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18232498610841996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013060702699330351,0.014640219988785036,0.0012942739196021356,0.18181818181818177,0.0,0.9892313504484125,1.1945127604171684,0.9485873128720952,1.0918210119178644,0.09914046424037101,0.036666341179677236,0.003078234681190127,0.2727272727272727,0.0,-0.11528751006048965,-0.3482069600060337,-0.03868802470467003,0.4093942668276871
2022Q3,463,541410,843903,758805,BACKDROP HOME STAGING,1,Q ,10,213394.07,38952.75,174441.32,548.63,0.2570971161476043,0.1773113887785081,0.004305778948729046,0.9090909090909091,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38952.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18253904618811573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,38952.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18253904618811573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00921287986507191,0.010812765934358481,0.00012442463925224807,-0.09090909090909094,0.0,-0.1457115851774039,-0.14470860116482687,-0.14593523032132205,-0.17526532575689246,0.11053069693412357,0.04465508051681605,0.0034491679158760633,0.45454545454545453,0.0,-0.051281441402285854,-0.49292224098226856,0.17777709960607813,0.6641793308459973
2011Q1,440,541519,736954,646844,CAREERBUILDER LLC,1,Q ,10,710654.0,4780.0,705874.0,4203.34,0.5914748949559139,0.5914748949559139,0.0,0.15384615384615385,1.0,4780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00672619868459194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00672619868459194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011Q2,441,541519,736954,646844,CAREERBUILDER LLC,1,Q ,10,631407.25,1565.64,629841.61,3887.81,0.6157373074192607,0.6039563667800234,0.0002943323292707834,0.38461538461538464,0.8333333333333334,1565.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024796040907037417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1565.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024796040907037417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024262412463346816,0.012481471824109525,0.0,0.23076923076923078,0.0,-0.111512423767403,-0.6724602510460251,-0.10771382711362087,-0.07506649473989735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011Q3,442,541519,736954,646844,CAREERBUILDER LLC,1,Q ,10,792683.31,25.76,792657.55,4563.49,0.5757015370993492,0.5939891385845156,0.0004372690180210376,0.07692307692307693,0.8333333333333334,25.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.249721506057696e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.249721506057696e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04003577031991146,-0.009967228195507771,0.00014293668875025418,-0.3076923076923077,0.0,0.25542319952772163,-0.9835466646227741,0.2585029909344987,0.17379450127449636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
